view,part,date,old_name,new_name,class_id,new_id,train,train_idx_aligned
right,,Dec2008,3898_STE I  right_Dec2008.jpg,142.jpg,476,318,True,260
left,,May2008,3746_Sappho II left side_May2008.jpg,143.jpg,107,9,False,-1
left,,17Aug2016,28_Aaron left head_17Aug2016.jpg,144.jpg,161,64,True,46
left,,Feb2004,2241_Khysie I left_Feb2004.jpg,145.jpg,24,135,False,-1
right,,May2010,1017_Dana I rightside_May2010.jpg,146.jpg,290,170,True,133
right,,25Sep2016,5061_Ibrahim right side_25Sep2016.jpg,147.jpg,395,247,True,196
right,,21Jul2015,3346_Pansey I right head_21Jul2015.jpg,148.jpg,494,334,True,273
left,,Apr2009,3747_Sappho III left_Apr2009.jpg,149.jpg,11,12,True,10
left,,25Feb2016,1086_Diana VII 2 left side_25Feb2016.jpg,150.jpg,274,158,True,125
left,,Nov2010,2498_Lisandra I left_Nov2010.jpg,151.jpg,193,93,True,70
right,head,Nov2010,1673_Halo I righthead_Nov2010.jpg,152.jpg,443,286,True,232
left,,Apr2-11,2125_Kamra I left_Apr2-11.jpg,153.jpg,29,169,False,-1
left,,Sep2009,102_Ailanthie II left head_Sep2009.jpg,154.jpg,214,116,False,-1
left,,11Oct2015,3550_Raisa I left side_11Oct2015.jpg,155.jpg,42,270,True,218
right,,Apr2009,145_Alika I right side_Apr2009.jpg,156.jpg,497,337,False,-1
right,,Dec2009,3898_STE I right head_Dec2009.jpg,158.jpg,476,318,True,260
right,,7Aug2016,42_Adar right head_7Aug2016.jpg,159.jpg,398,250,True,199
right,,Oct2010,3061_Morton right head_Oct2010.jpg,160.jpg,401,253,True,202
left,,Dec2010,2792_Maureena I leftside_Dec2010.jpg,163.jpg,71,398,True,320
left,,Apr2003,2671_Mar I left_Apr2003.jpg,165.jpg,12,22,True,17
left,,Jan2011,5160_Perrin leftside_Jan2011.jpg,167.jpg,149,51,True,36
right,,Feb2011,3507_Purdy II right head_Feb2011.jpg,168.jpg,416,267,True,216
left,,May2011,3062_Moses leftside_May2011.jpg,169.jpg,108,10,True,8
right,,Jan2009,637_Bottom right side_Jan2009.jpg,170.jpg,372,226,True,178
right,,Feb2010,654_Brice right side_Feb2010.jpg,171.jpg,388,240,True,190
left,,Feb2010,4054_Tess II left side_Feb2010.jpg,172.jpg,83,407,True,327
right,,May2010,1017_Dana right head_May2010.jpg,173.jpg,290,170,True,133
left,head,Nov2010,2038_Juanita III lefthead_Nov2010.jpg,175.jpg,53,364,True,293
right,,May2010,5137_Munshi right_May2010.jpg,176.jpg,436,281,True,228
left,,30Dec2014,2241_Khysie I left side_30Dec2014.jpg,177.jpg,24,135,False,-1
left,,2015,4109_Tibbie I left head_2015.jpg,178.jpg,32,191,True,147
right,,Dec2006,2164_Kepler right_Dec2006.jpg,179.jpg,433,278,True,226
right,,Aug2003,3766_Sasha IV 3 right_Aug2003.jpg,181.jpg,396,248,True,197
right,head,May2010,5137_Munshi righthead_May2010.jpg,182.jpg,436,281,True,228
right,,Feb2003,251_Anatole right_Feb2003.jpg,184.jpg,413,264,True,213
left,,Apr2003,4088_Thelma II left_Apr2003.jpg,185.jpg,21,111,True,86
right,,15Dec2014,1469_Gabin right side_15Dec2014.jpg,186.jpg,417,268,True,217
right,,18Dec2014,3441_Pia II(II) right_18Dec2014.jpg,187.jpg,348,209,True,162
right,,Jun2008,3387_Pepa I right head_Jun2008.jpg,188.jpg,501,342,False,-1
left,,Nov2008,52_Aethra I left side_Nov2008.jpg,190.jpg,186,87,True,65
right,,Jul2006,2380_Lazarus right side_Jul2006.jpg,191.jpg,414,265,True,214
left,,Mar2003,669_Britt I left_Mar2003.jpg,192.jpg,184,85,True,63
right,,1Jan2013,5778_Jamie right side_1Jan2013.jpg,193.jpg,411,263,True,212
right,,Nov2008,1888_Jackie II right side_Nov2008.jpg,194.jpg,385,237,True,187
right,,Sep2003,951_Creusa I right 3_Sep2003.jpg,195.jpg,491,332,False,-1
left,,Sep2004,977_Triple Bite left_Sep2004.jpg,196.jpg,102,4,True,3
left,,14Aug2015,2733_Marnie II left_14Aug2015.jpg,197.jpg,226,125,True,99
right,,7Mar2016,818_Chelsea II right side_7Mar2016.jpg,198.jpg,278,162,True,128
right,,4Nov2015,348_April II right head_4Nov2015.jpg,199.jpg,307,184,True,141
left,,Oct2004,1595_Greta I left_Oct2004.jpg,200.jpg,75,399,True,321
left,,May2010,3062_Moses leftside_May2010.jpg,202.jpg,108,10,True,8
left,,Jan2008,2674_Maralla I left head_Jan2008.jpg,203.jpg,66,392,False,-1
left,,Jan2010,3134_Nath left head_Jan2010.jpg,204.jpg,105,7,True,6
left,head,Dec2010,3114_Naila lefthead_Dec2010.jpg,205.jpg,264,153,True,122
right,,12Aug2016,2122_Kairos I right head_12Aug2016.jpg,206.jpg,295,173,False,-1
left,,Apr2009,1356_Fabula I left side_Apr2009.jpg,207.jpg,257,147,True,117
left,,Jan2009,1233_Elodie I left head_Jan2009.jpg,208.jpg,5,339,False,-1
right,,17Nov2015,5259_Qasim right side_17Nov2015.jpg,209.jpg,409,260,True,209
left,,Dec2002,4099_Thetis I left_Dec2002.jpg,212.jpg,238,133,True,105
left,,Sep2004,405_Asterix left side_Sep2004.jpg,213.jpg,130,34,False,-1
left,,25Jul2015,42_Adar left side_25Jul2015.jpg,215.jpg,122,25,False,-1
left,,9Mar2015,3252_Oko I left head_9Mar2015.jpg,216.jpg,10,1,False,-1
right,,Jan2008,3470_Pom right side_Jan2008.jpg,217.jpg,373,227,True,179
right,,20Jul2016,5043_Gula right side_20Jul2016.jpg,218.jpg,382,234,True,184
right,,Jun2006,1570_Gonya I right_Jun2006.jpg,219.jpg,298,175,False,-1
right,,5Aug2015,1890_Jackson right side_5Aug2015.jpg,220.jpg,390,242,True,192
right,,30Mar2016,1994_Jocelyn IV right head_30Mar2016.jpg,221.jpg,508,346,True,279
left,,Apr2008,3747_Sappho III left_Apr2008.jpg,222.jpg,11,12,True,10
left,,Feb2003,3012_Mokoko left_Feb2003.jpg,223.jpg,89,410,False,-1
left,,12Apr2016,629_Bono left side_12Apr2016.jpg,224.jpg,110,13,False,-1
left,,Aug2003,3766_Sasha IV left_Aug2003.jpg,225.jpg,120,23,False,-1
left,,18Jan2015,2122_Kairos left head_18Jan2015.jpg,226.jpg,19,90,False,-1
right,,Oct2008,1548_Gladys I right side_Oct2008.jpg,227.jpg,506,344,False,-1
left,,Apr2008,1638_Gustava I left side_Apr2008.jpg,229.jpg,52,355,True,285
left,,18Nov2015,4109_Tibbie I left side_18Nov2015.jpg,230.jpg,32,191,True,147
left,,Dec2008,2841_Medina IIa left_Dec2008.jpg,231.jpg,227,126,False,-1
left,,Nov2010,4345_Zandra I left_Nov2010.jpg,232.jpg,229,128,True,100
right,,Feb2003,736_Carissa I right_Feb2003.jpg,233.jpg,453,297,True,241
left,,May2010,183_Alvah I left side_May2010.jpg,235.jpg,56,383,True,307
left,,22Dec2014,2350_Larina I left side_22Dec2014.jpg,236.jpg,26,150,True,120
left,,Oct2010,1465_Gabbie I leftside_Oct2010.jpg,237.jpg,13,33,False,-1
right,,Nov2010,953_Creusa III right side_Nov2010.jpg,238.jpg,522,357,True,287
left,,27Jul2015,2577_Luk left side_27Jul2015.jpg,240.jpg,164,67,True,49
left,,Nov2010,2498_Lisandra leftside_Nov2010.jpg,241.jpg,193,93,True,70
right,,,569_Bette II right side.jpg,242.jpg,324,193,True,149
right,,Oct2008,405_Asterix right side_Oct2008.jpg,243.jpg,406,258,True,207
right,,Jan2009,5043_Gula right_Jan2009.jpg,244.jpg,382,234,True,184
left,,Dec2009,1356_Fabula I left side_Dec2009.jpg,245.jpg,257,147,True,117
right,,18Jul2015,3756_Sasha I right side_18Jul2015.jpg,246.jpg,327,195,True,150
right,,25Oct2015,638_Bouba I right head_25Oct2015.jpg,247.jpg,472,315,True,257
right,head,Feb2011,3410_Phaedra I righthead_Feb2011.jpg,250.jpg,474,316,True,258
left,,15Oct2015,5252_Zev left head_15Oct2015.jpg,251.jpg,152,55,False,-1
right,,Jan2003,3637_Ridley right_Jan2003.jpg,252.jpg,403,255,True,204
right,,21Jan2013,5259_Qasim right side_21Jan2013.jpg,253.jpg,409,260,True,209
right,,23Oct2015,4829_Juanita III(III) right_23Oct2015.jpg,254.jpg,322,192,True,148
right,,May2008,2681_Maren right_May2008.jpg,255.jpg,434,279,False,-1
right,,16Jan2016,2164_Kepler right side_16Jan2016.jpg,256.jpg,433,278,True,226
left,,7Feb2015,1566_Gomorrah III left_7Feb2015.jpg,258.jpg,36,214,True,167
right,,Oct2010,4030_Taylor right_Oct2010.jpg,259.jpg,483,324,True,266
right,,Jun2008,3387_Pepa I right_Jun2008.jpg,260.jpg,501,342,False,-1
right,,1Mar2016,264_Anemone I right side_1Mar2016.jpg,262.jpg,480,322,True,264
left,,May2011,28_Aaron left side_May2011.jpg,263.jpg,161,64,True,46
left,,1Mar2016,3061_Morton left side_1Mar2016.jpg,265.jpg,125,28,False,-1
left,,25Feb2015,619_Bona I left side_25Feb2015.jpg,266.jpg,255,145,True,115
left,,Jul2009,1975_Jill I left side_Jul2009.jpg,267.jpg,213,115,True,90
left,,May2010,5137_Munshi left head_May2010.jpg,268.jpg,160,63,True,45
right,,Nov2003,4030_Taylor I right_Nov2003.jpg,269.jpg,483,324,True,266
left,,17Jan2016,4155_Tudor left side_17Jan2016.jpg,270.jpg,163,66,True,48
left,,31Aug2015,3337_Pandora I left head_31Aug2015.jpg,271.jpg,78,402,True,324
left,,22Feb2016,3134_Nath left side_22Feb2016.jpg,272.jpg,105,7,True,6
left,,Nov2003,4030_Taylor I left_Nov2003.jpg,273.jpg,207,108,True,83
left,,11Jan2015,2122_Kairos I left side_11Jan2015.jpg,274.jpg,19,90,False,-1
left,,Nov2010,3414_Phaedra IV left_Nov2010.jpg,275.jpg,273,157,True,124
left,,Feb2004,669_Britt I left_Feb2004.jpg,277.jpg,184,85,True,63
right,,Oct2010,843_Chloe II right head_Oct2010.jpg,278.jpg,466,309,True,252
right,,Jan2011,2241_Khysie I rightside_Jan2011.jpg,279.jpg,300,179,True,139
left,,Apr2009,102_Ailanthie II left side_Apr2009.jpg,280.jpg,214,116,False,-1
right,,15Jan2016,4330_Yetta I right side_15Jan2016.jpg,281.jpg,511,349,True,281
left,,28Dec2014,1436_Franco left side_28Dec2014.jpg,282.jpg,90,412,True,330
left,,17Apr2015,4169_Twyla I left head_17Apr2015.jpg,283.jpg,171,72,True,53
left,,3Apr2016,1797_Hulda I left side_3Apr2016.jpg,285.jpg,76,400,True,322
left,,Oct2004,348_April II left_Oct2004.jpg,287.jpg,31,187,True,143
left,,7Mar2016,818_Chelsea II left side_7Mar2016.jpg,288.jpg,2,100,True,75
right,,Dec2009,3917_Stephanie II right side_Dec2009.jpg,291.jpg,459,302,True,245
right,,29Jul2016,3999_Talia I right_29Jul2016.jpg,292.jpg,477,319,True,261
left,,7Mar2015,1183_Sirana I left side_7Mar2015.jpg,293.jpg,15,52,True,37
left,,Feb2011,3507_Purdy II leftside_Feb2011.jpg,294.jpg,140,44,False,-1
right,,16Nov2015,637_Bottom right side_16Nov2015.jpg,295.jpg,372,226,True,178
left,,Nov2010,2281_Koffi leftside_Nov2010.jpg,296.jpg,91,413,True,331
right,,Sep2010,1868_Ismene I rightside 2_Sep2010.jpg,297.jpg,451,295,True,239
left,,Nov2010,2841_Medina IIa leftside_Nov2010.jpg,298.jpg,227,126,False,-1
left,,Dec2002,264_Anemone I left_Dec2002.jpg,299.jpg,204,106,True,81
right,,Nov2003,3898_STE I right 4_Nov2003.jpg,300.jpg,476,318,True,260
left,,Jan2009,1536_Gibor left_Jan2009.jpg,301.jpg,144,48,True,33
left,,11Jan2016,629_Bono left side_11Jan2016.jpg,302.jpg,110,13,False,-1
left,,30Jul2015,459_Azora I left side_30Jul2015.jpg,303.jpg,8,404,False,-1
left,,Dec2004,2674_Maralla I left side_Dec2004.jpg,304.jpg,66,392,False,-1
left,,21Jan2016,1909_Jamila III left_21Jan2016.jpg,305.jpg,124,27,False,-1
right,,25Jul2015,42_Adar right head_25Jul2015.jpg,306.jpg,398,250,True,199
left,,Jul2009,4048_Terra II left_Jul2009.jpg,307.jpg,162,65,True,47
left,,Jan2009,1074_Diana I left side_Jan2009.jpg,308.jpg,266,154,False,-1
right,,Dec2009,405_Asterix right side_Dec2009.jpg,309.jpg,406,258,True,207
right,,16June2016,953_Creusa III right head_16June2016.jpg,310.jpg,522,357,True,287
left,,Oct2010,2791_Maureen I leftside_Oct2010.jpg,311.jpg,37,223,True,175
left,,Apr2006,1576_Gonya IV left_Apr2006.jpg,312.jpg,63,390,True,314
left,,Apr2009,654_Brice left side_Apr2009.jpg,313.jpg,112,15,False,-1
left,,Jan2009,1775_Hortense II left side_Jan2009.jpg,314.jpg,195,95,True,72
left,,Jan2011,3747_Sappho III leftside_Jan2011.jpg,315.jpg,11,12,True,10
left,,7Oct2015,1396_Fern I left side_7Oct2015.jpg,316.jpg,241,137,True,108
left,,Nov2003,1009_Cyrille I left_Nov2003.jpg,318.jpg,182,84,False,-1
right,,May2003,1248_Emma I right_May2003.jpg,319.jpg,346,208,True,161
left,,Jan2003,3410_Phaedra I left_Jan2003.jpg,320.jpg,198,98,True,73
left,,1Sep2015,654_Brice left side_1Sep2015.jpg,321.jpg,112,15,False,-1
left,,Feb2010,1319_Etta III left 2 side_Feb2010.jpg,322.jpg,0,0,True,0
left,,19Oct2016,1211_Corrado left side_19Oct2016.jpg,323.jpg,126,29,True,20
right,,Aug2008,160_Halifa II right_Aug2008.jpg,324.jpg,449,292,True,237
right,,Dec 2002,951_Creusa I right_Dec 2002.jpg,325.jpg,491,332,False,-1
left,,Sep2009,1638_Gustava left side_Sep2009.jpg,326.jpg,52,355,True,285
right,,Jan2011,2655_Malcolm rightside_Jan2011.jpg,327.jpg,392,244,True,194
left,,Jan2010,1990_Jocelyn I left side_Jan2010.jpg,328.jpg,206,107,True,82
right,,22Jan2016,3897_Stasny right ear_22Jan2016.jpg,329.jpg,370,224,True,176
left,,29Dec2014,2241_Khysie I left side_29Dec2014.jpg,331.jpg,24,135,False,-1
right,,Feb2011,3045_Morgana I right head_Feb2011.jpg,332.jpg,337,202,False,-1
left,,Jun2008,00183_Alvah II left side_Jun2008.jpg,333.jpg,77,401,True,323
left,,May2006,4249_Vicky III left_May2006.jpg,335.jpg,57,384,True,308
left,,14Nov2014,4428_Inessa I left head_14Nov2014.jpg,336.jpg,41,261,True,210
right,,Sep2010,647_Boz rightside 2_Sep2010.jpg,337.jpg,375,229,True,181
left,,5Aug2015,842_Chloe I left side_5Aug2015.jpg,339.jpg,243,138,True,109
right,,3Feb2016,1019_Dana III right side_3Feb2016.jpg,340.jpg,499,338,True,276
right,,2Feb2015,1867_Ishmael right head_2Feb2015.jpg,341.jpg,374,228,True,180
left,,Aug2004,3637_Ridley left_Aug2004.jpg,342.jpg,127,30,True,21
right,,Sep2004,1017_Dana I right_Sep2004.jpg,343.jpg,290,170,True,133
left,,Nov2010,2559_Lucrece I left_Nov2010.jpg,344.jpg,3,177,True,137
left,,22Dec2014,1365_Fadoul left side_22Dec2014.jpg,345.jpg,165,68,True,50
left,,19Apr2016,3883_Soukou IV left head_19Apr2016.jpg,346.jpg,55,381,False,-1
right,,may2010,145_Alika I right head_may2010.jpg,347.jpg,497,337,False,-1
right,,May2011,3483_Primrose I right_May2011.jpg,348.jpg,487,328,True,268
left,,Oct2010,1146_Dourou left head_Oct2010.jpg,349.jpg,129,32,True,23
left,,Jan2010,2764_Masha I left side_Jan2010.jpg,350.jpg,234,130,True,102
right,,Jul2006,3436_Phyllis IV right_Jul2006.jpg,351.jpg,484,325,False,-1
right,,30Jan2015,3747_Sappho III right side_30Jan2015.jpg,352.jpg,287,166,False,-1
right,,Dec2010,579_BHE II right side_Dec2010.jpg,353.jpg,399,251,True,200
right,,Apr2003,3410_Phaedra I right_Apr2003.jpg,354.jpg,474,316,True,258
left,,7Mar2015,4265_Viola I left side_7Mar2015.jpg,355.jpg,62,389,True,313
left,,Jan2004,1613_Grover left_Jan2004.jpg,357.jpg,92,414,False,-1
left,,May2010,28_Aaron left side_May2010.jpg,358.jpg,161,64,True,46
right,,9Jan2015,2281_Koffi right side_9Jan2015.jpg,359.jpg,367,220,True,173
left,,24June2016,2367_Laverne I left side_24June2016.jpg,360.jpg,18,81,True,60
left,,Sep2003,165_Alpha I left 2_Sep2003.jpg,361.jpg,258,148,True,118
right,,25Jan2015,1084_Diana V right side_25Jan2015.jpg,362.jpg,468,310,True,253
left,,Feb2011,3329_Paloma I leftside_Feb2011.jpg,363.jpg,262,151,False,-1
left,,May2009,3886_Sourou I left_May2009.jpg,364.jpg,45,293,False,-1
left,,Feb2011,373_Ariel II left_Feb2011.jpg,366.jpg,181,83,True,62
left,head,Oct2011,1370_Fang lefthead_Oct2011.jpg,367.jpg,104,6,True,5
left,,Nov2010,579_BHE II leftside_Nov2010.jpg,368.jpg,123,26,True,19
left,,May2010,3428_Phyllis II leftside_May2010.jpg,369.jpg,220,121,True,95
right,,Nov2008,654_Brice right side_Nov2008.jpg,370.jpg,388,240,True,190
left,,Jan2003,2792_Maureena left_Jan2003.jpg,372.jpg,71,398,True,320
left,,Jun2009,4099_Thetis I left side_Jun2009.jpg,373.jpg,238,133,True,105
